nazev_cz,rid_f,rid,web
1. lékařská fakulta,11110,11000,www.lf1.cuni.cz
2. lékařská fakulta,11130,11000,www.lf2.cuni.cz
3. lékařská fakulta,11120,11000,www.lf3.cuni.cz
Agronomická fakulta,43210,43000,www.af.mendelu.cz
Akademie výtvarných umění v Praze - Celoškolská pracoviště,52900,52000,www.avu.cz
Celoškolská pracoviště,53900,53000,
Celoškolská pracoviště,51900,51000,
Celoškolská pracoviště,54900,54000,
Celoškolská pracoviště,28900,28000,
Celoškolská pracoviště,31900,31000,
Celoškolská pracoviště,41900,41000,
Celoškolská pracoviště,94900,94000,
Celoškolská pracoviště,95900,95000,
Celoškolská pracoviště,11900,11000,
Celoškolská pracoviště,12900,12000,
Celoškolská pracoviště,13900,13000,
Celoškolská pracoviště,14900,14000,
Celoškolská pracoviště,15900,15000,
Celoškolská pracoviště,16900,16000,
Celoškolská pracoviště,17900,17000,
Celoškolská pracoviště,18900,18000,
Celoškolská pracoviště,19900,19000,
Celoškolská pracoviště,21900,21000,
Celoškolská pracoviště,22900,22000,
Celoškolská pracoviště,23900,23000,
Celoškolská pracoviště,24900,24000,www.tul.cz
Celoškolská pracoviště,25900,25000,
Celoškolská pracoviště,26900,26000,
Celoškolská pracoviště,27900,27000,
Celoškolská pracoviště a rektorát,43900,43000,www.mendelu.cz
Cyrilometodějská teologická fakulta,15260,15000,www.cmtf.upol.cz
Divadelní fakulta,51210,51000,www.damu.cz
Divadelní fakulta,54530,54000,difa.jamu.cz
Dopravní fakulta Jana Pernera,25510,25000,www.upce.cz/dfjp/index.html
Ekonomická fakulta,24310,24000,www.ef.tul.cz
Ekonomická fakulta,12510,12000,www.ef.jcu.cz
Ekonomická fakulta,27510,27000,www.ekf.vsb.cz/cs/index.html
Ekonomicko-správní fakulta,14560,14000,www.econ.muni.cz
Evangelická teologická fakulta,11270,11000,www.etf.cuni.cz
"Fakulta agrobiologie, potravinových a přírodních zdrojů",41210,41000,www.af.czu.cz/cs
Fakulta aplikované informatiky,28140,28000,www.utb.cz/fai
Fakulta aplikovaných věd,23520,23000,fav.zcu.cz
Fakulta architektury,21450,21000,www.cvut.cz
Fakulta architektury,26410,26000,www.fa.vutbr.cz
Fakulta bezpečnostně právní,94110,94000,www.polac.cz/g2/view.php?fbp/index.html
Fakulta bezpečnostního inženýrství,27200,27000,www.fbi.vsb.cz/cs/index.html
Fakulta bezpečnostního managementu ,94120,94000,www.polac.cz/g2/view.php?fbm/index.html
Fakulta biomedicínského inženýrství,21460,21000,www.fbmi.cvut.cz
Fakulta designu a umění Ladislava Sutnara,23410,23000,zcu.cz/fud
Fakulta dopravní,21260,21000,www.fd.cvut.cz
Fakulta ekonomická,23510,23000,fek.zcu.cz
Fakulta ekonomicko-správní,25410,25000,www.upce.cz/fes/index.html
Fakulta elektrotechnická,23220,23000,fel.zcu.cz
Fakulta elektrotechnická,21230,21000,www.fel.cvut.cz
Fakulta elektrotechniky a informatiky,25530,25000,www.upce.cz/fei/index.html
Fakulta elektrotechniky a informatiky,27240,27000,www.fei.vsb.cz/cs/index.html
Fakulta elektrotechniky a komunikačních technologií,26220,26000,www.fee.vutbr.cz
Fakulta filozofická,25210,25000,www.upce.cz/ff/index.html
Fakulta filozofická,23330,23000,ff.zcu.cz
Fakulta financí a účetnictví,31110,31000,nb.vse.cz/fak1
Fakulta humanitních studií,28150,28000,www.utb.cz/fhs
Fakulta humanitních studií,11240,11000,www.fhs.cuni.cz
Fakulta chemická,26310,26000,www.fch.vutbr.cz
Fakulta chemické technologie,22310,22000,fcht.vscht.cz
Fakulta chemicko-inženýrská,22340,22000,fchi.vscht.cz
Fakulta chemicko-technologická,25310,25000,www.upce.cz/fcht/index.html
Fakulta informačních technologií,26230,26000,www.fit.vutbr.cz
Fakulta informačních technologií,21240,21000,www.fit.cvut.cz
Fakulta informatiky,14330,14000,www.fi.muni.cz
