KOD,NAZEV,ANAZEV,DOD,DDO,NEPLATNOST,LATNAZEV
6208R082,Podnikatelská činnost,,,,,
6208R083,Podnikatelství,,,,,
6208R085,Podniková ekonomika,,,,,
6208R086,Podniková ekonomika a management,,,,,
6208R087,Podniková ekonomika a management obchodu,,,,,
6208R088,Podniková ekonomika a management provozu,,,,,
6208R089,Podnikové finance,,,,,
6208R091,Podnikové hospodářství,,,,,
6208R092,Prokurista,,,,,
6208R093,Prokurista firmy,,,,,
6208R094,Provoz a ekonomika /Economics and Management/,,,,,
6208R096,Průmyslový obchodník,,,,,
6208R097,Řízení a ekonomika podniku,,,,,
6208R098,Řízení a ekonomika podniku - podniková ekonomika a management,,,,,
6208R099,Řízení podniku a podnikové finance,,,,,
6208R100,Sociálně ekonomický obor,,,,,
6208R101,Sportovní management,,,,,
6208R102,Školský management,,,,,
6208R103,Technický management,,,,,
6208R105,"Aplikovaná environmentální ekonomie, politika a management",,,,,
6208R106,Ekonomika a řízení v neziskovém sektoru,,,,,
6208R108,Vojenský management,,,,,
6208R109,Ekonomika obrany státu,,,,,
6208R110,Agricultural Economics and Management,,,,,
6208R111,Agrarökonomie,,,,,
6208R113,Finanční management,,,,,
6208R114,Zdravotnický management,,,,,
6208R117,Účetnictví a finanční řízení podniku,,,,,
6208R118,Podniková ekonomika - pro absolventy neekonomických fakult,,,,,
6208R120,Podnikání a management v životním prostředí,,,,,
6208R121,Krizový management,,,,,
6208R122,Oceňování majetku,,,,,
6208R123,Ekonomika a management v průmyslu,,,,,
6208R124,Marketingové komunikace ve službách,,,,,
6208R125,Management pro veřejný sektor,,,,,
6208R126,Management podniku,,,,,
6208R129,Podnikání a management v cestovním ruchu,,,,,
6208R131,Management a ekonomika ve veřejném sektoru,,,,,
6208R132,Aplikovaná ekonomická studia,,,,,
6208R133,Business Administration,,,,,
6208R134,Globální podnikání a management,,,,,
6208R135,Management mezinárodních institucí a veřejné správy,,,,,
6208R136,Marketingová komunikace,,,,,
6208R140,Makléř,,,,,
6208R142,Obchod a marketing,,,,,
6208R143,Matematické modelování v ekonomii,,,,,
6208R144,Arts Management,,,,,
6208R145,"Mzdové účetnictví, daně a personalistika",,,,,
6208R146,Ekonomika a provoz podniku,,,,,
6208R147,Management ochrany podniku a společnosti,,,,,
6208R149,Management v neziskovém sektoru,,,,,
6208R151,Ekonomika a management malého a středního podnikání,,,,,
6208R153,Komunikace a lidské zdroje,,,,,
6208R155,Management se zaměřením na psychologii,,,,,
6208R156,Ekonomika veřejné správy a sociálních služeb,,,,,
6208R159,Mezinárodní ekonomika a právo v podnikání,,,,,
6208R161,Ekonomika a procesní managament,,,,,
6208R162,Management dopravních služeb,,,,,
6208R163,Podniková ekonomika a finanční management,,,,,
6208R165,Řízení logistiky,,,,,
6208R168,Management v tělesné kultuře,,,,,
6208R170,Ekonomika a management zdravotních a sociálních služeb,,,,,
6208R171,Ekonomika a řízení nestátních neziskových ogranizací,,,,,
6208R174,European Business Studies,,,,,
6208R175,Ekonomika a management služeb,,,,,
6208R176,Řízení sociálních služeb,,,,,
6208R177,Management a marketing služeb,,,,,
6208R179,Management sportu,,,,,
6208R180,Manažerská studia - řízení lidských zdrojů,,,,,
6208R181,Řízení a ekonomika průmyslového podniku,,,,,
6208R184,Personální management v průmyslových podnicích,,,,,
6208R186,"Podniková ekonomika a řízení provozu, logistiky a kvality",,,,,
0711RA1300050000,Chemie a chemické technologie,Chemistry and Chemical Technologies,2018-10-12 22:00:00,,,
0711RA1300050056,Chemie a chemické technologie - Chemické technologie,Chemistry and Chemical Technologies - Chemical Technologies,2018-10-12 22:00:00,,,
0711RA1300060066,Chemie a technologie materiálů - Chemie a technologie materiálů,Chemistry and Technology of Materials - Chemistry and Technology of Materials,2018-10-12 22:00:00,,,
0711RA1300060067,Chemie a technologie materiálů - Forenzní analýza materiálů,Chemistry and Technology of Materials - Forensic Analysis of Materials,2018-10-12 22:00:00,,,
0711RA13A1022,Technologie konzervování-restaurování objektů kulturního dědictví,Technology of Conservation-Restoration of Cultural Heritage Objects,2018-10-26 22:00:00,,,
0711RA1300050057,Chemie a chemické technologie - Vodíkové a membránové technologie,Chemistry and Chemical Technologies - Hydrogen and Membrane Technologies,2018-10-12 22:00:00,,,
0711RA1300050058,Chemie a chemické technologie - Chemie a forenzní chemie,Chemistry and Chemical Technologies - Chemistry and Forensic Chemistry,2018-10-12 22:00:00,,,
0711RA1300060000,Chemie a technologie materiálů,Chemistry and Technology of Materials,2018-10-12 22:00:00,,,
0214RA13A10380000,Konzervování-restaurování uměleckořemeslných děl,Conservation-Restoration of Works of Arts and Crafts,2019-01-04 23:00:00,,,
0214RA13A10380076,Konzervování-restaurování uměleckořemeslných děl - Konzervování-restaurování uměleckořemeslných děl ze skla a keramiky,Conservation-Restoration of Works of Arts and Crafts - Conservation-Restoration of Glass and Ceramic Works of Arts and Crafts,2019-01-04 23:00:00,,,
0214RA13A10380077,Konzervování-restaurování uměleckořemeslných děl - Konzervování-restaurování uměleckořemeslných děl z kovů,Conservation-Restoration of Works of Arts and Crafts - Conservation-Restoration of Metallic Works of Arts and Crafts,2019-01-04 23:00:00,,,
0214RA13A10380078,Konzervování-restaurování uměleckořemeslných děl - Konzervování-restaurování uměleckořemeslných děl z textilních materiálů,Conservation-Restoration of Works of Arts and Crafts - Conservation-Restoration of Textile Works of Arts and Crafts,2019-01-04 23:00:00,,,
0711RA13A1033,Syntéza a výroba léčiv,Synthesis and Manufacturing of Pharmaceuticals,2018-10-26 22:00:00,,,
0711RA130008,Chemie biomateriálů pro medicínské využití,Chemistry of Biomaterials for medical applications,2018-10-26 22:00:00,,,
0712RA130002,Voda a prostředí,Water and Environment,2018-10-12 22:00:00,,,
0711RA130007,Energie a paliva,Energy and Fuels,2018-10-12 22:00:00,,,
0712RA130003,Ekotoxikologie a environmentální analýza,Ecotoxicology and Environmental Analysis,2018-10-12 22:00:00,,,
0512RA1300020000,Biochemie a biotechnologie,Biochemistry and Biotechnology,2018-10-12 22:00:00,,,
0512RA1300020073,Biochemie a biotechnologie - Biotechnologie a bioinženýrství,Biochemistry and Biotechnology - Biotechnology and Bioengineering,2018-10-12 22:00:00,,,
0512RA1300020074,Biochemie a biotechnologie - Přírodní látky a léčiva,Biochemistry and Biotechnology - Natural Compounds and Pharmaceuticals,2018-10-12 22:00:00,,,
0512RA1300020075,Biochemie a biotechnologie - Biochemie a mikrobiologie,Biochemistry and Biotechnology - Biochemistry and Microbilogy,2018-10-12 22:00:00,,,
0512RA1300030000,Forenzní analýza a analýza potravin,Forensic Analysis and Food Analysis,2018-10-12 22:00:00,,,
0512RA1300030059,Forenzní analýza a analýza potravin - Forenzní analýza,Forensic Analysis and Food Analysis - Forensic Analysis,2018-10-12 22:00:00,,,
2808R024,Polymerní materiály a kompozity,,,,,
2808R025,Povrchová ochrana stavebních a konstrukčních materiálů,,,,,
2808R026,Chemie materiálů pro automobilový průmysl,,,,,
2808R028,Obuvnická a galanterní technologie a hygiena obouvání,,,,,
2808R029,Biomateriály pro medicínské využití,,,,,
2808R030,Chemistry and Materials,,,,,
2808R031,Chemie pro medicínské aplikace,,,,,
2808T002,Chemická technologie kovových a speciálních anorganických materiálů,,,,,
2808T003,Chemie a technologie anorganických materiálů,,,,,
2808T004,Chemie materiálů,,,,,
2808T007,Technologie silikátů,,,,,
2808T010,Polymerní materiály a technologie,,,,,
2808T011,Anorganické nekovové materiály,,,,,
2808T012,Kovové materiály,,,,,
2808T013,Polymerní materiály,,,,,
2808T014,Materiály pro elektroniku,,,,,
2808T015,Chemie a technologie papíru a celulózových materiálů,,,,,
2808T016,"Chemie, technologie a vlastnosti materiálů",,,,,
2808T017,Inženýrství a hygiena obouvání,,,,,
2808T018,Inženýrství ochrany životního prostředí,,,,,
2808T019,Inženýrství polymerů,,,,,
2808T021,Řízení technologických rizik,,,,,
