KOD,NAZEV,LATNAZEV,ANAZEV,DOD,DDO,NEPLATNOST
N3303,Nábytkové inženýrství,,,,,
N3305,Stavby na bázi dřeva,,,,,
N3441,Polygrafie,,,,,
N3501,Architektura a urbanismus,,Architecture and Urbanism,,,
N3502,Architektura a stavitelství,,,,,
N3504,Architektura a rozvoj sídel,,,,,
N3602,Geomatika,,,,,
N3606,Vojenské stavby,,,,,
N3607,Stavební inženýrství,,Civil Engineering,,,
N3608,Pozemní stavby a architektura,,,,,
N3609,Stavitelství,,,,,
N3646,Geodézie a kartografie,,,,,
N3647,Stavebnictví,,,,,
N3648,Civil Engineering,,Civil Engineering,,,
N3649,Budovy a prostředí,,,,,
N3650,Buildings and Environment,,Buildings and Environment,,,
N3652,Bezpečnostní a rizikové inženýrství,,,,,
N3654,"Geodézie, kartografie a geoinformatika",,,,,
N3706,Dopravní a spojová infrastruktura,,,,,
N3707,Ekonomika a řízení v dopravě a spojích,,,,,
N3708,Dopravní inženýrství a spoje,,,,,
N3709,Dopravní technologie a spoje,,,,,
N3710,Technika a technologie v dopravě a spojích,,,,,
N3711,Automatizace a řízení v dopravě a spojích,,,,,
N3713,Logistika,,,,,
N3901,Aplikované vědy v inženýrství,,,,,
N3902,Inženýrská informatika,,"Computer Science and Engineering, Engineering Informatics",,,
N3903,Kybernetika a řídící technika,,,,,
N3904,Inženýrská ekologie,,,,,
N3906,Speciální technologie,,,,,
N3907,Energetika,,,,,
N3908,Požární ochrana a průmyslová bezpečnost,,,,,
N3909,Procesní inženýrství,,Process Engineering,,,
N3910,Fyzikální a materiálové inženýrství,,,,,
N3911,Materiálové vědy,,,,,
N3912,Speciální chemicko-biologické obory,,Special Chemical and Biological Programmes,,,
N3913,Aplikace přírodních věd,,,,,
N3914,Krajinné inženýrství,,Landscape Engineering,,,
N3915,Krajinářství,,,,,
N3916,Biomedicínské inženýrství - bionika,,,,,
N3917,Soudní inženýrství,,,,,
N3918,Aplikované vědy a informatika,,Applied Sciences and Computer Engineering,,,
N3919,Biomechanika,,Biomechanics,,,
N3921,Biomedicínská a klinická technika,,Biomedical and Clinical Technology,,,
N3922,Ekonomika a řízení průmyslových systémů,,Economics and Management of Industrial Systems,,,
N3923,Materiálové inženýrství,,Materials Engineering,,,
N3926,Vojenské technologie,,Military Technology,,,
N3927,Podnikání a komerční inženýrství v průmyslu,,Entepreneurship and Commercial Engineering in Industry,,,
N1510,Mikrobiologie,,Microbiology,,,
N3931,Environmentální vědy,,Environmental Science,,,
N3942,Nanotechnologie,,,,,
N3943,Mechatronika,,Mechatronics,,,
N3946,Inteligentní budovy,,,,,
N3948,Aplikovaná inženýrská informatika,,Applied Engineering Informatics,,,
N3949,Řízení rozvojových projektů,,,,,
N3950,Rizikové inženýrství,,,,,
N3951,Jaderná energetická zařízení,,,,,
N3952,Biomedicínské inženýrství a bioinformatika,,,,,
N3954,Biomedicínské inženýrství a informatika,,Biomedical Engineering and Informatics,,,
N3955,Počítačové modelování v inženýrství,,Computer Modelling in Engineering,,,
N3957,Průmyslové inženýrství,,,,,
N3958,Letectví a kosmonautika,,Aeronautics and Astronautics,,,
N3963,Biomedicínské inženýrství,,,,,
N4101,Zemědělské inženýrství,,Agricultural Engineering,,,
N4102,Fytotechnika,,Crop Science,,,
N4103,Zootechnika,,"Animal Science, Animal Breeding",,,
N4106,Zemědělská specializace,,Agricultural Specialization,,,
N4107,Lesní inženýrství,,Forestry Engineering,,,
N4108,Zahradnické inženýrství,,Hortical Engineering,,,
N4109,Zahradní a krajinářská architektura,,,,,
N4110,Technology and Environmental Engineering,,Technology and Environmental Engineering,,,
N4114,Biotechnologie,,,,,
N4144,Zahradnictví,,,,,
N4145,Kvalita a zpracování zemědělských produktů,,,,,
N4146,Hodnocení a ochrana půdy,,,,,
N4147,Udržitelné využívání přírodních zdrojů,,Sustainable Use of Natural Resources,,,
N4148,"Zemědělství, zahradnictví a rozvoj venkova",,,,,
N4149,Rozvoj venkova a zemědělství,,,,,
N4150,Genové technologie a šlechtění,,,,,
N4151,Péče o biosféru,,,,,
N4152,Rostlinolékařství,,,,,
N4153,Natural Resources and Environment (Přírodní zdroje a životní prostředí),,Natural Resources and Environment (Přírodní zdroje a životní prostředí),,,
N4157,Tropical Agriculture (Tropické zemědělství),,Tropical Agriculture (Tropické zemědělství),,,
N4158,European Forestry,,European Forestry,,,
N4159,Ovocnictví,,Fruit Science,,,
N4160,Technické znalectví a expertní inženýrství,,,,,
N4162,Ekologické zemědělství,,,,,
N4163,Sustainable Agriculture and Food Security,,Sustainable Agriculture and Food Security,,,
N4164,Natural Resources Management and Ecological Engineering,,,,,
N4165,Výživa a potraviny,,,,,
N4168,Horticultural Engineering,,Horticultural Engineering,,,
N4170,Ochrana a využívání přírodních zdrojů,,,,,
N4301,Veterinární lékařství,,,,,
N4302,Veterinární hygiena a ekologie,,Veterinary Hygiene and Ecology,,,
N5103,Všeobecné lékařství,,,,,
N5104,Stomatologie,,Dentistry,,,
N5105,Experimentální chirurgie,,Experimental Surgery,,,
N5106,Fyziologie a patofyziologie člověka,,Human Physiology and Pathophysiology,,,
N5107,Gerontologie,,Gerontologogy,,,
N5108,Neurovědy,,Neurosciences,,,
N5109,Preventivní medicína,,Preventive Medicine,,,
N5135,Epidemiologie,,Epidemiology,,,
N5206,Farmacie,,Pharmacy,,,
N5207,Zdravotnická bioanalytika,,Healthcare bioanalytics,,,
N5208,Farmakologie a toxikologie,,Pharmacology and Toxicology,,,
N5341,Ošetřovatelství,,Nursing,,,
N5342,Rehabilitace,,,,,
N5345,Specializace ve zdravotnictví,,Specializations in Health Service,,,
N5346,Ekonomika a řízení zdravotnictví,,,,,
N5347,Veřejné zdravotnictví,,,,,
N5348,Specializace ve zdravotnictví (kombinované),,,,,
N5350,Zdravotně sociální péče,,,,,
N6101,Filozofie,,Philosophie,,,
N6107,Humanitní studia,,Humanities,,,
N6141,Teologie,,Theology,,,
N6142,Logika,,Logic,,,
N6143,Humanitní studia (tříleté),,,,,
N6145,Humanitní vědy,,Humanities,,,
N6146,Cultural Studies,,Cultural Studies,,,
N6201,Ekonomické teorie,,Economics,,,
N6202,Hospodářská politika a správa,,Economic Policy and Administration,,,
N6207,Kvantitativní metody v ekonomice,,,,,
N6208,Ekonomika a management,,Economics and Management,,,
N6209,Systémové inženýrství a informatika,,Engineering and Informatics,,,
N6210,Mezinárodní ekonomické vztahy,,International Economic Relations,,,
N6213,Ekonomika a insolvence,,,,,
N6214,Regionální rozvoj,,Regional Development,,,
N6215,Bankovnictví,,,,,
N6216,Ekonomie a hospodářská správa,,Economics and Economic Administration,,,
N6217,Finance a účetnictví,,Finance and Accountancy,,,
N6219,Economics of International Trade and European Integration,,Economics of International Trade and European Integration,,,
N6220,Finance and Accounting for Common Europe,,Finance and Accounting for Common Europe,,,
N6223,Economic Policy and Administration,,Economic Policy and Administration,,,
N6226,"ARIMA, Quantitative Asset and Risk Management",,"ARIMA, Quantitative Asset and Risk Management",,,
N6227,Business and Law in International Markets,,Business and Law in International Markets,,,
N6233,Economic Policy and Public Administration,,Economic Policy and Public Administration,,,
N6235,Economics of Globalisation and European Integration,,Economics of Globalisation and European Integration,,,
N6236,Finance and Accounting,,Finance and Accounting,,,
N6237,Regional and European Project Management,,,,,
N6501,Řízení cestovního ruchu,,,,,
N6502,"Hotelnictví, gastronomie a lázeňství",,,,,
N6503,"Gastronomie, hotelnictví a turismus",,"Hospitality Management, Gastronomy and Tourism",,,
N6701,Politologie,,Political Science,,,
N6702,Mezinárodní teritoriální studia,,International Territorial Studies,,,
N6703,Sociologie,,Sociology,,,
N6704,International Relations and Diplomacy,,International Relations and Diplomacy,,,
N6731,Sociální politika a sociální práce,,Social Policy and Social Work,,,
N6732,Politologie (kombinované),,,,,
N6733,Sociologie (kombinované),,,,,
N6734,Sociální politika a sociální práce (kombinované),,,,,
N6735,Mezinárodní teritoriální studia (kombinované),,,,,
N6736,International Economic and Political Studies (Mezinárodní ek.a polit.studia),,International Economic and Political Studies,,,
N6737,Humanitní environmentalistika,,,,,
N6738,Mezinárodní a veřejné vztahy,,,,,
N6740,Applied Sociology and Public Policy,,Applied Sociology and Public Policy,,,
N6741,Humanitní environmentalistika (tříleté),,,,,
N6744,International Area Studies,,,,,
N6801,Teoretické právní vědy,,,,,
N6804,Právní specializace,,,,,
N6805,Právo a právní věda,,,,,
N6806,Bezpečnostně právní studia,,,,,
N6807,Veřejná správa,,Public Policy,,,
N6812,Soukromoprávní studia,,,,,
N7105,Historické vědy,,History,,,
N7106,Historická studia,,,,,
N7109,Archeologie,,,,,
N7201,Informační studia a knihovnictví,,Information and Library Studies,,,
N7202,Mediální a komunikační studia,,Media and Communication Studies,,,
N7203,Mediální a komunikační studia (kombinované),,,,,
N7310,Filologie,,Philology,,,
N7311,Anglistika - amerikanistika,,English and American Studies,,,
N7312,Čeština v komunikaci neslyšících,,Deaf Studies,,,
N7313,Překladatelství a tlumočnictví,,Translation and Interpreting,,,
N7401,Tělesná výchova a sport,,Physical Education and Sport,,,
N7403,Kinantropologie,,Kinanthropology,,,
N7501,Pedagogika,,Pedagogy,,,
N7502,Sociální péče,,,,,
N7503,Učitelství pro základní školy,,,,,
N7504,Učitelství pro střední školy,,Teacher Training for Secondary Schools,,,
