nazev_cz,typ_VS,text_forma_VS,kraj,rid,sidlo,ic,datova_schranka,web,statutarni_zastupce,funkcni_obdobi_od,funkcni_obdobi_do
"Academia Rerum Civilium - Vysoká škola politických a společenských věd, s.r.o.",neuniverzitní,soukromá,Středočeský,6J000,Barborská 52 284 01 Kutná Hora,27072622  ,7t5iyt6   ,www.vspsv.cz,"prof. PhDr. Ján Liďák, CSc.",,
Akademie múzických umění v Praze,univerzitní,veřejná,Praha,51000,Malostranské náměstí 259/12 Malá Strana 118 00 Praha 1,61384984  ,ikwj9fx   ,www.amu.cz,doc. Mgr. Jan Hančil  ,15.2.2017,14.2.2021
"Akademie STING, o.p.s.",neuniverzitní,soukromá,Jihomoravský,73000,Stromovka 1 637 00 Brno,26239604  ,k9p32t6   ,www.sting.cz,"doc. Ing. Zdeněk Sadovský, CSc.",,
Akademie výtvarných umění v Praze,univerzitní,veřejná,Praha,52000,"U Akademie 172/4,  Holešovice 170 22 PRAHA 7",60461446  ,nuvj88r   ,www.avu.cz,doc. MgA. Tomáš Vaněk,1.2.2018,31.1.2022
AKCENT College s.r.o.,neuniverzitní,soukromá,Praha,7L000,Bítovská 5 Michle 140 00 Praha 4 ,27259439  ,9wwj7p5   ,www.akcentcollege.cz,"doc. PhDr. Zdeněk Starý, CSc.",1.10.2016,
"Anglo-americká vysoká škola, z.ú.",neuniverzitní,soukromá,Praha,78000,Letenská 5  Malá Strana 118 00 Praha 1,25940082  ,3myq57j   ,www.aauni.edu,Ing. Petr Jan Pajas,,
"Archip, s.r.o.",neuniverzitní,soukromá,Praha,7M000,Františka Křížka 1 Holešovice 170 00 Prague 7,28881699  ,bspm4u6   ,www.archip.eu,"Ing. arch. Regina Loukotová, PhD. ",,
"ART & DESIGN INSTITUT, s.r.o.",neuniverzitní,soukromá,Praha,7R000,"Slezská 68, Praha 3 – Vinohrady",27216641  ,n2vjktt   ,www.artdesigninstitut.cz,"prof. PhDr. Július Gajdoš, Ph.D.",,
"CEVRO Institut, z.ú.",neuniverzitní,soukromá,Praha,7D000,Jungmannova 17  Nové Město 110 00 Praha 1,27590101  ,uz3paee   ,www.cevroinstitut.cz,"prof. Ing. Josef Šíma, Ph.D.",,
Česká zemědělská univerzita v Praze,univerzitní,veřejná,Praha,41000,Kamýcká 129  Suchdol 165 00 Praha 6,60460709  ,3hdj9cb   ,www.czu.cz,"prof. Ing. Petr Sklenička, CSc.	",1.2.2018,31.1.2022
České vysoké učení technické v Praze,univerzitní,veřejná,Praha,21000,Jugoslávských partyzánů 1580/3 Dejvice 160 00 Praha 6,68407700  ,p83j9ee   ,www.cvut.cz,"doc. RNDr. Vojtěch Petráček, CSc.	",1.2.2018,31.1.2022
"Evropský polytechnický institut, s.r.o.",neuniverzitní,soukromá,Zlínský,62000,Osvobození 699  686 04 Kunovice,63468352  ,mfk3qrc   ,www.edukomplex.cz,"prof. Ing. Oldřich Kratochvíl, Ph.D., MBA, Dr.h.c.",,
"Filmová akademie Miroslava Ondříčka v Písku, o.p.s.",neuniverzitní,soukromá,Jihočeský,6N000,Lipová alej 2068/1 397 01 Písek - Budějovické Předměstí,26074184  ,w7cne3a   ,www.filmovka.cz,akad. arch. Jindřich Goetz ,,
Janáčkova akademie múzických umění v Brně,univerzitní,veřejná,Jihomoravský,54000,Beethovenova 650/2  662 15  Brno,62156462  ,7ckj9g2   ,www.jamu.cz,prof. Mgr. Petr Oslzlý,1.2.2018,31.1.2022
